I,J,X,Y,zMin,zMax,vip1,vip2,vip3
31,1,31500.000000,1500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,2,31500.000000,2500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,3,31500.000000,3500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,4,31500.000000,4500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,5,31500.000000,5500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,6,31500.000000,6500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,7,31500.000000,7500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,8,31500.000000,8500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
31,9,31500.000000,9500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
32,0,32500.000000,500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,1,32500.000000,1500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,2,32500.000000,2500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,3,32500.000000,3500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,4,32500.000000,4500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,5,32500.000000,5500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,6,32500.000000,6500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,7,32500.000000,7500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,8,32500.000000,8500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
32,9,32500.000000,9500.000000,67.000000,72.000000,0.500000,4.499999,4.499999
33,0,33500.000000,500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,1,33500.000000,1500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,2,33500.000000,2500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,3,33500.000000,3500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,4,33500.000000,4500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,5,33500.000000,5500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,6,33500.000000,6500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
33,7,33500.000000,7500.000000,66.000000,71.000000,0.500000,4.499999,4.499999
